sub,rt,acc,block
1,0.610480556,0.819444444,1
1,0.576220139,0.892361111,2
1,0.523072222,0.878472222,3
1,0.478752431,0.871527778,4
2,0.797177431,0.927083333,1
2,0.816102431,0.9375,2
2,0.710127778,0.975694444,3
2,0.693192014,0.951388889,4
3,0.739921181,0.960069444,1
3,0.630585069,0.947916667,2
3,0.62042691,0.954861111,3
3,0.567743056,0.958333333,4
4,0.584414236,0.954861111,1
4,0.601633333,0.96875,2
4,0.5306875,0.930555556,3
4,0.520978472,0.927083333,4
5,0.856615278,0.954861111,1
5,0.88710625,0.965277778,2
5,0.800928472,0.951388889,3
5,0.756701736,0.958333333,4
6,0.754171528,0.895833333,1
6,0.690578125,0.930555556,2
6,0.648374653,0.930555556,3
6,0.620040972,0.940972222,4
7,0.816207639,0.958333333,1
7,0.735113542,0.965277778,2
7,0.712711111,0.96875,3
7,0.673964236,0.989583333,4
8,0.872971875,0.940972222,1
8,0.752330903,0.920138889,2
8,0.656617708,0.954861111,3
8,0.609297222,0.954861111,4
9,0.791131597,0.881944444,1
9,0.798525694,0.923611111,2
9,0.774897917,0.90625,3
9,0.717903472,0.916666667,4
10,0.955966319,0.940972222,1
10,0.802869097,0.961805556,2
10,0.845215972,0.96875,3
10,0.786789583,0.979166667,4
11,0.854825694,0.96875,1
11,0.880038194,0.975694444,2
11,0.834489583,0.979166667,3
11,0.853715625,0.982638889,4
